1	B	Which widget pattern protects authenticated routes?	Navigator	Guard	Route protection	Middleware
2	B	Why are tests important for refactoring?	Reduce UI work	Ensure changes don't break functionality	Improve animations	Change layout
3	B	What is the role of BuildContext in Flutter?	Store application data	Locate widgets in the widget tree	Manage navigation history	Render UI pixels
4	B	What role does the Flutter framework play in application development?	It manages database servers	It provides UI components and rendering logic	It replaces the operating system	It runs backend business logic
5	C	How is the Flutter UI constructed internally?	Using XML layout files	Using HTML and CSS	Using a hierarchical widget tree	Using native UI components only
6	C	Which widget enables custom scroll effects in Flutter?	ListView	SingleChildScrollView	CustomScrollView	Column
7	B	Which practice improves rendering performance?	Large widget trees	Splitting widgets	Global state	Frequent rebuilds
8	C	What does an integration test verify?	Single function	Widget rendering	End-to-end app behavior	Theme consistency
9	B	Why is separating UI and state logic recommended?	Reduce code size	Improve maintainability	Faster execution	Better animations
10	B	When does Flutter rebuild the widget tree?	On every frame	When state changes	Only when app restarts	Only during hot restart
11	B	Which concept does BLoC heavily rely on?	Future	Stream	Animation	Theme
12	B	Why is version control critical?	UI changes	Track and manage code changes	Improve animations	Store data
13	B	Why is immutability important in BLoC states?	UI speed	Predictable state changes	Memory usage	Theme control
14	C	Which Flutter plugin provides SQLite support?	hive	moor	sqflite	shared_preferences
15	B	What is the main benefit of using Maps in Dart?	Storing values without keys	Storing key-value pairs	Rendering UI components	Managing asynchronous tasks
16	B	Which tool helps analyze UI performance in Flutter?	Inspector	DevTools	Emulator	Hot reload
17	B	What does a Dart class primarily represent?	A UI widget only	A blueprint for creating objects	A database table	A network request
18	B	What is the purpose of SliverAppBar?	Static app bar	Scrollable flexible app bar	Bottom navigation	Drawer control
19	B	What is Hive mainly used for?	Remote database	Lightweight local NoSQL storage	State management	Routing
20	C	Which HTTP header is commonly used for authorization?	Content-Type	Accept	Authorization	Cache-Control
21	B	What does TextEditingController manage?	Theme	Text input value	Validation rules	Layout constraints
22	B	Why is Dart considered suitable for Flutter development?	It is only used for backend systems	It supports both UI and application logic efficiently	It replaces native languages	It does not support asynchronous programming
23	B	What does the build() method return in a widget?	A screen	A widget tree describing the UI	Application state	Rendered pixels
24	C	What represents the output of a BLoC?	Events	Widgets	States	Controllers
