TOM TAT CHI TIET ON THI	TÓM TẮT CHI TIẾT ÔN THI
BAN NAY CO NOI DUNG GIAI THICH DAY DU (khong chi tieu de).	BẢN NÀY CÓ NỘI DUNG GIẢI THÍCH ĐẦY ĐỦ (không chỉ tiêu đề).
Moi muc: dinh nghia + giai thich + vi du/cong thuc + diem hay ra de.	Mỗi mục: định nghĩa + giải thích + ví dụ/công thức + điểm hay ra đề.
Ngon ngu: tieng Viet + giu thuan ngu tieng Anh nhu trong sach goc.	Ngôn ngữ: tiếng Việt + giữ thuật ngữ tiếng Anh như trong sách gốc.
Ky thi FE	Kỳ thi FE
Chuong nay giai thich may tinh duoc cau tao the nao, du lieu duoc bieu dien ra sao,	Chương này giải thích máy tính được cấu tạo thế nào, dữ liệu được biểu diễn ra sao,
CPU/bo nho/o dia/I-O hoat dong the nao. Day la nen tang de hieu cac chuong sau.	CPU/bộ nhớ/ổ đĩa/I-O hoạt động thế nào. Đây là nền tảng để hiểu các chương sau.
1. Cau hinh co ban may tinh	1. Cấu hình cơ bản máy tính
1-1 Lich su may tinh	1-1 Lịch sử máy tính
1-2 Nam don vi chinh	1-2 Năm đơn vị chính
2. Bieu dien du lieu trong may tinh	2. Biểu diễn dữ liệu trong máy tính
4. Auxiliary Storage (bo nho phu)	4. Auxiliary Storage (bộ nhớ phụ)
PHU LUC BO SUNG - CAC DIEM CAN DE TRA LOI CAU HOI MAU (test.txt)	PHỤ LỤC BỔ SUNG — CÁC ĐIỂM CẦN ĐỂ TRẢ LỜI CÂU HỎI MẪU (test.txt)
(Bo sung sau khi doi chieu de mau; DOC THEM PHAN NAY KHI ON DE)	(Bổ sung sau khi đối chiếu đề mẫu; ĐỌC THÊM PHẦN NÀY KHI ÔN ĐỀ)
HET PHU LUC BO SUNG	HẾT PHỤ LỤC BỔ SUNG
PHU LUC - CHECKLIST ON NHANH TRUOC THI	PHỤ LỤC — CHECKLIST ÔN NHANH TRƯỚC THI
Cach dung: doc tung muc -> tu viet lai so do -> lam bai Exercises cuoi chuong trong sach.	Cách dùng: đọc từng mục → tự viết lại sơ đồ → làm bài Exercises cuối chương trong sách.
File nay thay the ban 'chi tieu de'; moi dong la noi dung on that.	File này thay thế bản 'chỉ tiêu đề'; mỗi dòng là nội dung ôn thật.
Nguon: New FE Textbook Vol.1 & Vol.2 (vol1.docx, vol2.docx).	Nguồn: New FE Textbook Vol.1 & Vol.2 (vol1.docx, vol2.docx).
DIEM THI:	ĐIỂM THI:
VI DU 	VÍ DỤ 
VI DU	VÍ DỤ
Luu y:	Lưu ý:
The he may tinh	Thế hệ máy tính
thuong duoc chia theo linh kien logic	thường được chia theo linh kiện logic
chu yeu duoc dung	chủ yếu được dùng
dung den dien tu	dùng đèn điện tử
la may tinh som nhat	là máy tính sớm nhất
tieu thu dien rat lon	tiêu thụ điện rất lớn
phat nhiet manh	phát nhiệt mạnh
chu yeu tinh toan dan dao	chủ yếu tính toán đạn đạo
De doi wiring theo bai toan	Để đổi wiring theo bài toán
mot so nguoi khong coi do la may tinh theo nghia hien dai	một số người không coi đó là máy tính theo nghĩa hiện đại
dung co che	dùng cơ chế
chuong trinh luu trong may roi chay	chương trình lưu trong máy rồi chạy
May theo kien truc nay goi la	Máy theo kiến trúc này gọi là
dung transistor (ban dan)	dùng transistor (bán dẫn)
la may thuong mai som	là máy thương mại sớm
nho, it hong hon den dien tu	nhỏ, ít hỏng hơn đèn điện tử
may gon va tin cay hon	máy gọn và tin cậy hơn
tich hop hang tram transistor tren chip silicon	tích hợp hàng trăm transistor trên chip silicon
may general-purpose dung duoc nhieu loai xu ly	máy general-purpose dùng được nhiều loại xử lý
mat do cao hon	mật độ cao hơn
Xuat hien may dieu khien cong nghiep	Xuất hiện máy điều khiển công nghiệp
cho thiet bi gia dung	cho thiết bị gia dụng
cho tinh khoa hoc	cho tính khoa học
microcomputer ca nhan	microcomputer cá nhân
Chuyen tu	Chuyển từ
dong goi ca he thong vao 1 chip	đóng gói cả hệ thống vào 1 chip
Xu huong hien dai	Xu hướng hiện đại
co the lap trinh logic sau khi san xuat	có thể lập trình logic sau khi sản xuất
tiet kiem nang luong	tiết kiệm năng lượng
may de dung hon	máy dễ dùng hơn
co kha nang suy luan/gan con nguoi hon	có khả năng suy luận/gần con người hơn
nho thu tu	nhớ thứ tự
Du may tinh co nhieu loai	Dù máy tính có nhiều loại
cau hinh co ban deu gom	cấu hình cơ bản đều gồm
don vi chinh	đơn vị chính
mo phong cach con nguoi giai bai toan	mô phỏng cách con người giải bài toán
