subject,id,task,num,severity,flags,question
prm,1,re,1,P1,"half_translated_question","Which widget pattern protects authenticated routes?"
prm,6,re,6,P1,"generic_concept;half_translated_question","Which widget enables custom scroll effects in Flutter?"
prm,7,re,7,P1,"half_translated_question","Which practice improves rendering performance?"
prm,11,re,11,P1,"half_translated_question","Which concept does BLoC heavily rely on?"
prm,14,re,14,P1,"generic_concept;half_translated_question","Which Flutter plugin provides SQLite support?"
prm,15,re,15,P1,"half_translated_question","What is the main benefit of using Maps in Dart?"
prm,16,re,16,P1,"half_translated_question","Which tool helps analyze UI performance in Flutter?"
prm,17,re,17,P1,"half_translated_question","What does a Dart class primarily represent?"
prm,21,re,21,P1,"half_translated_question","What does TextEditingController manage?"
prm,22,re,22,P1,"half_translated_question","Why is Dart considered suitable for Flutter development?"
prm,25,re,25,P1,"half_translated_question","What is Cubit in BLoC?"
prm,26,re,26,P1,"half_translated_question","Which activity is typically performed after creating a new Flutter project?"
prm,27,re,27,P1,"generic_concept","Which practice improves deployment security?"
prm,30,re,30,P1,"half_translated_question","Which method is used to update the UI when state changes?"
prm,31,re,31,P1,"half_translated_question","Which Flutter package is commonly used for simple key-value storage?"
prm,34,re,34,P1,"half_translated_question","Which widget helps avoid rebuilding unchanged UI parts?"
prm,35,re,35,P1,"generic_concept","Which widget is used to handle asynchronous API responses in UI?"
prm,36,re,36,P1,"half_translated_question","Which Dart feature helps organize code into reusable libraries?"
prm,37,re,37,P1,"half_translated_question","What is refresh token used for?"
prm,38,re,38,P1,"half_translated_question","What is rebuild scope optimization in Flutter?"
prm,40,re,40,P1,"generic_concept;half_translated_question","Which widget reacts to async data from local storage?"
prm,41,re,41,P1,"generic_concept","What is a token in authentication systems?"
prm,43,re,43,P1,"half_translated_question","Which Dart feature allows defining reusable, type-safe components?"
prm,44,re,44,P1,"half_translated_question","Which widget animates between two widgets?"
prm,47,re,47,P1,"half_translated_question","What does crossAxisAlignment control?"
prm,48,re,48,P0,"banned_phrase","Which tool is commonly used for version control?"
prm,50,fe,2,P1,"half_translated_question","What is Dart primarily designed for in the Flutter ecosystem?"
prm,53,fe,5,P1,"half_translated_question","What happens if a non-nullable variable is not initialized in Dart?"
prm,55,fe,7,P1,"half_translated_question","Which widget allows overlapping of its child widgets?"
prm,57,fe,9,P1,"half_translated_question","What is the main risk of improper state management?"
prm,58,fe,10,P1,"half_translated_question","What does CurvedAnimation provide?"
prm,59,fe,11,P1,"generic_concept","How can data be passed to a new screen?"
prm,61,fe,13,P1,"generic_concept;half_translated_question","Which phase involves gathering requirements?"
prm,62,fe,14,P1,"generic_concept;half_translated_question","Which Flutter tool helps debug network requests?"
prm,63,fe,15,P1,"half_translated_question","Which Dart feature supports object-oriented programming?"
prm,64,fe,16,P1,"generic_concept;half_translated_question","Which approach helps reduce unnecessary widget rebuilds?"
prm,65,fe,17,P1,"half_translated_question;half_translated_opt_B","Which action best demonstrates Flutter's reactive UI model?"
prm,66,fe,18,P0,"same_whyWrong_all","Why are const widgets recommended?"
prm,68,fe,20,P1,"generic_concept;half_translated_question","Which Flutter test focuses on UI components?"
prm,71,fe,23,P1,"generic_concept;half_translated_question","Which widget applies a theme to an entire Flutter application?"
prm,72,fe,24,P0,"half_translated_question;same_whyWrong_all","What is the purpose of SliverAppBar?"
prm,74,fe,26,P1,"half_translated_question","Which package supports BLoC architecture?"
prm,75,fe,27,P1,"generic_concept;half_translated_question","Which Flutter widget reacts to authentication state changes?"
prm,77,fe,29,P0,"half_translated_question;same_whyWrong_all","What is implicit animation?"
prm,78,fe,30,P1,"half_translated_question","Which Dart data structure is best suited for storing an ordered collection of items?"
prm,79,fe,31,P1,"generic_concept;half_translated_question","Which Flutter concept supports reactive UI updates?"
prm,80,fe,32,P1,"generic_concept;half_translated_question","Which type of test checks individual functions or classes?"
prm,81,fe,33,P1,"half_translated_question","What is the role of events in BLoC?"
prm,82,fe,34,P0,"half_translated_question;same_whyWrong_all","What is the main purpose of hot reload in Flutter?"
prm,84,fe,36,P0,"generic_concept;half_translated_question;same_whyWrong_all","Which method retrieves data from SharedPreferences?"
prm,85,fe,37,P1,"half_translated_question","What is the main benefit of Flutter's widget-based architecture?"
prm,88,fe,40,P0,"generic_concept;half_translated_question;same_whyWrong_all","Which widget can hide user input text when configured for password entry?"
prm,89,fe,41,P1,"generic_concept;half_translated_question","What is Flutter primarily used for?"
prm,90,fe,42,P1,"generic_concept;half_translated_question","Which method resets all form fields?"
prm,91,fe,43,P1,"half_translated_question","Which Dart keyword is used to define a constant value at compile time?"
prm,92,fe,44,P1,"generic_concept","What happens after successful login?"
prm,93,fe,45,P1,"half_translated_question","Which step is required before running a Flutter app for the first time?"
prm,94,fe,46,P1,"generic_concept;half_translated_question","Which widget reacts to async data from local storage?"
prm,95,fe,47,P0,"half_translated_question;same_whyWrong_all","What does golden testing verify?"
